City,Category,Country iso3,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Erongo,UMIC,NAM,0.0,0.0,0.0,766.7468944099379,175.916149068323,101.20341614906832,0.0,0.0,101.20341614906832,0.0,0.0,0.0,640.6055900621118,640.6055900621118,0.0,0.0,0.0,0.0,174.22360248447205,174.22360248447205,0.0,0.0,119.51863354037268,0.0,424.8602484472049,0.0
Faadhippolhu,UMIC,MDV,0.0,0.0,0.0,895.5403645833334,119.40104166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.1015625,179.1015625,208.91927083333334,0.0,0.0,238.80208333333334,238.80208333333334,268.6197916666667,0.0,0.0,447.65625,0.0,208.91927083333334,0.0
Felidhy Atoll,UMIC,MDV,0.0,0.0,0.0,881.1588541666667,160.15625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.56770833333334,173.56770833333334,240.29947916666669,0.0,0.0,133.46354166666669,186.9140625,240.29947916666669,0.0,0.0,347.0703125,0.0,160.15625,0.0
Folon,LMIC,CIV,0.0,0.0,0.0,264.6182495344506,35.758238199336084,0.0,0.0,0.0,4.550238847056918,0.0,0.0,0.0,53.96324184276577,53.96324184276577,0.0,0.0,0.0,0.0,89.07173508217957,47.46174398834102,0.0,0.0,48.11148894826329,0.0,52.66172779532022,0.0
Fujian,UMIC,CHN,0.0,0.0,0.0,1207.983606557377,239.5081967213115,106.72131147540985,0.0,0.0,106.72131147540985,0.0,0.0,0.0,890.9344262295082,0.0,0.0,0.0,0.0,0.0,224.40983606557378,224.40983606557378,0.0,0.0,529.344262295082,0.0,109.98360655737706,0.0
Gaborone,UMIC,BWA,0.0,0.0,0.0,15.415019762845851,8.646245059288539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.379446640316207,8.063241106719367,0.0,0.0,6.343873517786562,31.98616600790514,9.940711462450594,0.0,0.0,21.442687747035574,0.0,13.972332015810279,0.0
Galle,UMIC,LKA,0.0,0.0,0.0,397.554171411703,32.04712121490422,7.271195572028339,0.0,0.0,45.90589567698767,0.0,0.0,0.0,35.693076830228286,139.9135466413015,0.0,0.0,0.0,0.0,56.47088069404356,56.47088069404356,0.0,0.0,111.4709497507216,0.0,222.25828279979007,0.0
Gampaha,UMIC,LKA,0.0,0.0,0.0,6482.833901863028,581.2175282078194,131.91813172395695,0.0,0.0,832.1910259774337,0.0,0.0,0.0,647.3261611125688,2536.6570453949093,0.0,0.0,0.0,0.0,1023.9359748097612,1023.9359748097612,0.0,0.0,2020.9498819207556,0.0,4029.934400419837,0.0
Gansu,UMIC,CHN,0.0,0.0,0.0,813.8032786885246,271.1803278688525,89.3032786885246,0.0,0.0,89.3032786885246,0.0,0.0,0.0,579.9508196721312,0.0,0.0,0.0,0.0,0.0,133.5,133.5,0.0,0.0,441.39344262295083,0.0,61.524590163934434,0.0
Gauteng,UMIC,ZAF,0.0,0.0,0.0,610.5625,212.1875,74.375,0.0,0.0,74.375,0.0,0.0,0.0,722.65625,722.65625,74.375,0.0,0.0,93.64583333333334,723.3333333333334,169.16666666666669,0.0,0.0,277.9166666666667,0.0,655.8229166666666,0.0
